seriesId,seasonality,survey_name,measure_data_type,commerce_industry,commerce_sector,area,year,period,periodName,value
SMU19197802023800001,Not Seasonally Adjusted,"State and Area Employment, Hours, and Earnings","All Employees, In Thousands",Specialty Trade Contractors,Construction,"Des Moines-West Des Moines, IA",2023,M01,January,15.8
SMU19197802023800001,Not Seasonally Adjusted,"State and Area Employment, Hours, and Earnings","All Employees, In Thousands",Specialty Trade Contractors,Construction,"Des Moines-West Des Moines, IA",2022,M13,Annual,16.5
SMU19197802023800001,Not Seasonally Adjusted,"State and Area Employment, Hours, and Earnings","All Employees, In Thousands",Specialty Trade Contractors,Construction,"Des Moines-West Des Moines, IA",2022,M12,December,16.5
SMU19197802023800001,Not Seasonally Adjusted,"State and Area Employment, Hours, and Earnings","All Employees, In Thousands",Specialty Trade Contractors,Construction,"Des Moines-West Des Moines, IA",2022,M11,November,17.4
SMU19197802023800001,Not Seasonally Adjusted,"State and Area Employment, Hours, and Earnings","All Employees, In Thousands",Specialty Trade Contractors,Construction,"Des Moines-West Des Moines, IA",2022,M10,October,17.7
SMU19197802023800001,Not Seasonally Adjusted,"State and Area Employment, Hours, and Earnings","All Employees, In Thousands",Specialty Trade Contractors,Construction,"Des Moines-West Des Moines, IA",2022,M09,September,17.6
SMU19197802023800001,Not Seasonally Adjusted,"State and Area Employment, Hours, and Earnings","All Employees, In Thousands",Specialty Trade Contractors,Construction,"Des Moines-West Des Moines, IA",2022,M08,August,17.6
SMU19197802023800001,Not Seasonally Adjusted,"State and Area Employment, Hours, and Earnings","All Employees, In Thousands",Specialty Trade Contractors,Construction,"Des Moines-West Des Moines, IA",2022,M07,July,17.6
SMU19197802023800001,Not Seasonally Adjusted,"State and Area Employment, Hours, and Earnings","All Employees, In Thousands",Specialty Trade Contractors,Construction,"Des Moines-West Des Moines, IA",2022,M06,June,17.3
SMU19197802023800001,Not Seasonally Adjusted,"State and Area Employment, Hours, and Earnings","All Employees, In Thousands",Specialty Trade Contractors,Construction,"Des Moines-West Des Moines, IA",2022,M05,May,16.8
SMU19197802023800001,Not Seasonally Adjusted,"State and Area Employment, Hours, and Earnings","All Employees, In Thousands",Specialty Trade Contractors,Construction,"Des Moines-West Des Moines, IA",2022,M04,April,16.2
SMU19197802023800001,Not Seasonally Adjusted,"State and Area Employment, Hours, and Earnings","All Employees, In Thousands",Specialty Trade Contractors,Construction,"Des Moines-West Des Moines, IA",2022,M03,March,14.9
SMU19197802023800001,Not Seasonally Adjusted,"State and Area Employment, Hours, and Earnings","All Employees, In Thousands",Specialty Trade Contractors,Construction,"Des Moines-West Des Moines, IA",2022,M02,February,14.4
SMU19197802023800001,Not Seasonally Adjusted,"State and Area Employment, Hours, and Earnings","All Employees, In Thousands",Specialty Trade Contractors,Construction,"Des Moines-West Des Moines, IA",2022,M01,January,14.3
SMU19197802023800001,Not Seasonally Adjusted,"State and Area Employment, Hours, and Earnings","All Employees, In Thousands",Specialty Trade Contractors,Construction,"Des Moines-West Des Moines, IA",2021,M13,Annual,15.3
SMU19197802023800001,Not Seasonally Adjusted,"State and Area Employment, Hours, and Earnings","All Employees, In Thousands",Specialty Trade Contractors,Construction,"Des Moines-West Des Moines, IA",2021,M12,December,15.8
SMU19197802023800001,Not Seasonally Adjusted,"State and Area Employment, Hours, and Earnings","All Employees, In Thousands",Specialty Trade Contractors,Construction,"Des Moines-West Des Moines, IA",2021,M11,November,16.1
SMU19197802023800001,Not Seasonally Adjusted,"State and Area Employment, Hours, and Earnings","All Employees, In Thousands",Specialty Trade Contractors,Construction,"Des Moines-West Des Moines, IA",2021,M10,October,16.2
SMU19197802023800001,Not Seasonally Adjusted,"State and Area Employment, Hours, and Earnings","All Employees, In Thousands",Specialty Trade Contractors,Construction,"Des Moines-West Des Moines, IA",2021,M09,September,16.2
SMU19197802023800001,Not Seasonally Adjusted,"State and Area Employment, Hours, and Earnings","All Employees, In Thousands",Specialty Trade Contractors,Construction,"Des Moines-West Des Moines, IA",2021,M08,August,16.3
SMU19197802023800001,Not Seasonally Adjusted,"State and Area Employment, Hours, and Earnings","All Employees, In Thousands",Specialty Trade Contractors,Construction,"Des Moines-West Des Moines, IA",2021,M07,July,16.3
SMU19197802023800001,Not Seasonally Adjusted,"State and Area Employment, Hours, and Earnings","All Employees, In Thousands",Specialty Trade Contractors,Construction,"Des Moines-West Des Moines, IA",2021,M06,June,16.0
SMU19197802023800001,Not Seasonally Adjusted,"State and Area Employment, Hours, and Earnings","All Employees, In Thousands",Specialty Trade Contractors,Construction,"Des Moines-West Des Moines, IA",2021,M05,May,15.5
SMU19197802023800001,Not Seasonally Adjusted,"State and Area Employment, Hours, and Earnings","All Employees, In Thousands",Specialty Trade Contractors,Construction,"Des Moines-West Des Moines, IA",2021,M04,April,15.1
SMU19197802023800001,Not Seasonally Adjusted,"State and Area Employment, Hours, and Earnings","All Employees, In Thousands",Specialty Trade Contractors,Construction,"Des Moines-West Des Moines, IA",2021,M03,March,13.7
SMU19197802023800001,Not Seasonally Adjusted,"State and Area Employment, Hours, and Earnings","All Employees, In Thousands",Specialty Trade Contractors,Construction,"Des Moines-West Des Moines, IA",2021,M02,February,12.6
SMU19197802023800001,Not Seasonally Adjusted,"State and Area Employment, Hours, and Earnings","All Employees, In Thousands",Specialty Trade Contractors,Construction,"Des Moines-West Des Moines, IA",2021,M01,January,13.3
SMU19197802023800001,Not Seasonally Adjusted,"State and Area Employment, Hours, and Earnings","All Employees, In Thousands",Specialty Trade Contractors,Construction,"Des Moines-West Des Moines, IA",2020,M13,Annual,14.4
SMU19197802023800001,Not Seasonally Adjusted,"State and Area Employment, Hours, and Earnings","All Employees, In Thousands",Specialty Trade Contractors,Construction,"Des Moines-West Des Moines, IA",2020,M12,December,14.7
SMU19197802023800001,Not Seasonally Adjusted,"State and Area Employment, Hours, and Earnings","All Employees, In Thousands",Specialty Trade Contractors,Construction,"Des Moines-West Des Moines, IA",2020,M11,November,15.1
SMU19197802023800001,Not Seasonally Adjusted,"State and Area Employment, Hours, and Earnings","All Employees, In Thousands",Specialty Trade Contractors,Construction,"Des Moines-West Des Moines, IA",2020,M10,October,15.1
SMU19197802023800001,Not Seasonally Adjusted,"State and Area Employment, Hours, and Earnings","All Employees, In Thousands",Specialty Trade Contractors,Construction,"Des Moines-West Des Moines, IA",2020,M09,September,14.6
SMU19197802023800001,Not Seasonally Adjusted,"State and Area Employment, Hours, and Earnings","All Employees, In Thousands",Specialty Trade Contractors,Construction,"Des Moines-West Des Moines, IA",2020,M08,August,15.2
SMU19197802023800001,Not Seasonally Adjusted,"State and Area Employment, Hours, and Earnings","All Employees, In Thousands",Specialty Trade Contractors,Construction,"Des Moines-West Des Moines, IA",2020,M07,July,15.1
SMU19197802023800001,Not Seasonally Adjusted,"State and Area Employment, Hours, and Earnings","All Employees, In Thousands",Specialty Trade Contractors,Construction,"Des Moines-West Des Moines, IA",2020,M06,June,14.8
SMU19197802023800001,Not Seasonally Adjusted,"State and Area Employment, Hours, and Earnings","All Employees, In Thousands",Specialty Trade Contractors,Construction,"Des Moines-West Des Moines, IA",2020,M05,May,14.4
SMU19197802023800001,Not Seasonally Adjusted,"State and Area Employment, Hours, and Earnings","All Employees, In Thousands",Specialty Trade Contractors,Construction,"Des Moines-West Des Moines, IA",2020,M04,April,13.7
SMU19197802023800001,Not Seasonally Adjusted,"State and Area Employment, Hours, and Earnings","All Employees, In Thousands",Specialty Trade Contractors,Construction,"Des Moines-West Des Moines, IA",2020,M03,March,13.7
SMU19197802023800001,Not Seasonally Adjusted,"State and Area Employment, Hours, and Earnings","All Employees, In Thousands",Specialty Trade Contractors,Construction,"Des Moines-West Des Moines, IA",2020,M02,February,13.2
SMU19197802023800001,Not Seasonally Adjusted,"State and Area Employment, Hours, and Earnings","All Employees, In Thousands",Specialty Trade Contractors,Construction,"Des Moines-West Des Moines, IA",2020,M01,January,13.3
SMU19197802023800001,Not Seasonally Adjusted,"State and Area Employment, Hours, and Earnings","All Employees, In Thousands",Specialty Trade Contractors,Construction,"Des Moines-West Des Moines, IA",2019,M13,Annual,14.3
SMU19197802023800001,Not Seasonally Adjusted,"State and Area Employment, Hours, and Earnings","All Employees, In Thousands",Specialty Trade Contractors,Construction,"Des Moines-West Des Moines, IA",2019,M12,December,14.4
SMU19197802023800001,Not Seasonally Adjusted,"State and Area Employment, Hours, and Earnings","All Employees, In Thousands",Specialty Trade Contractors,Construction,"Des Moines-West Des Moines, IA",2019,M11,November,14.8
SMU19197802023800001,Not Seasonally Adjusted,"State and Area Employment, Hours, and Earnings","All Employees, In Thousands",Specialty Trade Contractors,Construction,"Des Moines-West Des Moines, IA",2019,M10,October,15.1
SMU19197802023800001,Not Seasonally Adjusted,"State and Area Employment, Hours, and Earnings","All Employees, In Thousands",Specialty Trade Contractors,Construction,"Des Moines-West Des Moines, IA",2019,M09,September,15.3
SMU19197802023800001,Not Seasonally Adjusted,"State and Area Employment, Hours, and Earnings","All Employees, In Thousands",Specialty Trade Contractors,Construction,"Des Moines-West Des Moines, IA",2019,M08,August,15.4
SMU19197802023800001,Not Seasonally Adjusted,"State and Area Employment, Hours, and Earnings","All Employees, In Thousands",Specialty Trade Contractors,Construction,"Des Moines-West Des Moines, IA",2019,M07,July,15.2
SMU19197802023800001,Not Seasonally Adjusted,"State and Area Employment, Hours, and Earnings","All Employees, In Thousands",Specialty Trade Contractors,Construction,"Des Moines-West Des Moines, IA",2019,M06,June,14.9
SMU19197802023800001,Not Seasonally Adjusted,"State and Area Employment, Hours, and Earnings","All Employees, In Thousands",Specialty Trade Contractors,Construction,"Des Moines-West Des Moines, IA",2019,M05,May,14.4
SMU19197802023800001,Not Seasonally Adjusted,"State and Area Employment, Hours, and Earnings","All Employees, In Thousands",Specialty Trade Contractors,Construction,"Des Moines-West Des Moines, IA",2019,M04,April,13.9
SMU19197802023800001,Not Seasonally Adjusted,"State and Area Employment, Hours, and Earnings","All Employees, In Thousands",Specialty Trade Contractors,Construction,"Des Moines-West Des Moines, IA",2019,M03,March,12.7
SMU19197802023800001,Not Seasonally Adjusted,"State and Area Employment, Hours, and Earnings","All Employees, In Thousands",Specialty Trade Contractors,Construction,"Des Moines-West Des Moines, IA",2019,M02,February,12.5
SMU19197802023800001,Not Seasonally Adjusted,"State and Area Employment, Hours, and Earnings","All Employees, In Thousands",Specialty Trade Contractors,Construction,"Des Moines-West Des Moines, IA",2019,M01,January,13.2
SMU19197802023800001,Not Seasonally Adjusted,"State and Area Employment, Hours, and Earnings","All Employees, In Thousands",Specialty Trade Contractors,Construction,"Des Moines-West Des Moines, IA",2018,M13,Annual,14.4
SMU19197802023800001,Not Seasonally Adjusted,"State and Area Employment, Hours, and Earnings","All Employees, In Thousands",Specialty Trade Contractors,Construction,"Des Moines-West Des Moines, IA",2018,M12,December,14.0
SMU19197802023800001,Not Seasonally Adjusted,"State and Area Employment, Hours, and Earnings","All Employees, In Thousands",Specialty Trade Contractors,Construction,"Des Moines-West Des Moines, IA",2018,M11,November,14.7
SMU19197802023800001,Not Seasonally Adjusted,"State and Area Employment, Hours, and Earnings","All Employees, In Thousands",Specialty Trade Contractors,Construction,"Des Moines-West Des Moines, IA",2018,M10,October,14.8
SMU19197802023800001,Not Seasonally Adjusted,"State and Area Employment, Hours, and Earnings","All Employees, In Thousands",Specialty Trade Contractors,Construction,"Des Moines-West Des Moines, IA",2018,M09,September,15.1
SMU19197802023800001,Not Seasonally Adjusted,"State and Area Employment, Hours, and Earnings","All Employees, In Thousands",Specialty Trade Contractors,Construction,"Des Moines-West Des Moines, IA",2018,M08,August,15.4
SMU19197802023800001,Not Seasonally Adjusted,"State and Area Employment, Hours, and Earnings","All Employees, In Thousands",Specialty Trade Contractors,Construction,"Des Moines-West Des Moines, IA",2018,M07,July,15.2
SMU19197802023800001,Not Seasonally Adjusted,"State and Area Employment, Hours, and Earnings","All Employees, In Thousands",Specialty Trade Contractors,Construction,"Des Moines-West Des Moines, IA",2018,M06,June,15.2
SMU19197802023800001,Not Seasonally Adjusted,"State and Area Employment, Hours, and Earnings","All Employees, In Thousands",Specialty Trade Contractors,Construction,"Des Moines-West Des Moines, IA",2018,M05,May,14.9
SMU19197802023800001,Not Seasonally Adjusted,"State and Area Employment, Hours, and Earnings","All Employees, In Thousands",Specialty Trade Contractors,Construction,"Des Moines-West Des Moines, IA",2018,M04,April,14.3
SMU19197802023800001,Not Seasonally Adjusted,"State and Area Employment, Hours, and Earnings","All Employees, In Thousands",Specialty Trade Contractors,Construction,"Des Moines-West Des Moines, IA",2018,M03,March,13.4
SMU19197802023800001,Not Seasonally Adjusted,"State and Area Employment, Hours, and Earnings","All Employees, In Thousands",Specialty Trade Contractors,Construction,"Des Moines-West Des Moines, IA",2018,M02,February,12.9
SMU19197802023800001,Not Seasonally Adjusted,"State and Area Employment, Hours, and Earnings","All Employees, In Thousands",Specialty Trade Contractors,Construction,"Des Moines-West Des Moines, IA",2018,M01,January,12.8
SMU19197802023800001,Not Seasonally Adjusted,"State and Area Employment, Hours, and Earnings","All Employees, In Thousands",Specialty Trade Contractors,Construction,"Des Moines-West Des Moines, IA",2017,M13,Annual,13.9
SMU19197802023800001,Not Seasonally Adjusted,"State and Area Employment, Hours, and Earnings","All Employees, In Thousands",Specialty Trade Contractors,Construction,"Des Moines-West Des Moines, IA",2017,M12,December,14.1
SMU19197802023800001,Not Seasonally Adjusted,"State and Area Employment, Hours, and Earnings","All Employees, In Thousands",Specialty Trade Contractors,Construction,"Des Moines-West Des Moines, IA",2017,M11,November,14.4
SMU19197802023800001,Not Seasonally Adjusted,"State and Area Employment, Hours, and Earnings","All Employees, In Thousands",Specialty Trade Contractors,Construction,"Des Moines-West Des Moines, IA",2017,M10,October,14.4
SMU19197802023800001,Not Seasonally Adjusted,"State and Area Employment, Hours, and Earnings","All Employees, In Thousands",Specialty Trade Contractors,Construction,"Des Moines-West Des Moines, IA",2017,M09,September,14.6
SMU19197802023800001,Not Seasonally Adjusted,"State and Area Employment, Hours, and Earnings","All Employees, In Thousands",Specialty Trade Contractors,Construction,"Des Moines-West Des Moines, IA",2017,M08,August,14.5
SMU19197802023800001,Not Seasonally Adjusted,"State and Area Employment, Hours, and Earnings","All Employees, In Thousands",Specialty Trade Contractors,Construction,"Des Moines-West Des Moines, IA",2017,M07,July,14.5
SMU19197802023800001,Not Seasonally Adjusted,"State and Area Employment, Hours, and Earnings","All Employees, In Thousands",Specialty Trade Contractors,Construction,"Des Moines-West Des Moines, IA",2017,M06,June,14.3
SMU19197802023800001,Not Seasonally Adjusted,"State and Area Employment, Hours, and Earnings","All Employees, In Thousands",Specialty Trade Contractors,Construction,"Des Moines-West Des Moines, IA",2017,M05,May,13.9
SMU19197802023800001,Not Seasonally Adjusted,"State and Area Employment, Hours, and Earnings","All Employees, In Thousands",Specialty Trade Contractors,Construction,"Des Moines-West Des Moines, IA",2017,M04,April,13.6
SMU19197802023800001,Not Seasonally Adjusted,"State and Area Employment, Hours, and Earnings","All Employees, In Thousands",Specialty Trade Contractors,Construction,"Des Moines-West Des Moines, IA",2017,M03,March,13.1
SMU19197802023800001,Not Seasonally Adjusted,"State and Area Employment, Hours, and Earnings","All Employees, In Thousands",Specialty Trade Contractors,Construction,"Des Moines-West Des Moines, IA",2017,M02,February,12.7
SMU19197802023800001,Not Seasonally Adjusted,"State and Area Employment, Hours, and Earnings","All Employees, In Thousands",Specialty Trade Contractors,Construction,"Des Moines-West Des Moines, IA",2017,M01,January,12.9
SMU19197802023800001,Not Seasonally Adjusted,"State and Area Employment, Hours, and Earnings","All Employees, In Thousands",Specialty Trade Contractors,Construction,"Des Moines-West Des Moines, IA",2016,M13,Annual,13.9
SMU19197802023800001,Not Seasonally Adjusted,"State and Area Employment, Hours, and Earnings","All Employees, In Thousands",Specialty Trade Contractors,Construction,"Des Moines-West Des Moines, IA",2016,M12,December,14.4
SMU19197802023800001,Not Seasonally Adjusted,"State and Area Employment, Hours, and Earnings","All Employees, In Thousands",Specialty Trade Contractors,Construction,"Des Moines-West Des Moines, IA",2016,M11,November,14.6
SMU19197802023800001,Not Seasonally Adjusted,"State and Area Employment, Hours, and Earnings","All Employees, In Thousands",Specialty Trade Contractors,Construction,"Des Moines-West Des Moines, IA",2016,M10,October,15.5
SMU19197802023800001,Not Seasonally Adjusted,"State and Area Employment, Hours, and Earnings","All Employees, In Thousands",Specialty Trade Contractors,Construction,"Des Moines-West Des Moines, IA",2016,M09,September,15.3
